,Unnamed: 0,pref,burden rate,real consumption,fiscal_year,adult_population,cons_per_1000,unempr,grp,rGDP,pref2,suicide,death_rate,liver_disease,liver_disease_m,liver_disease_f,liver_disease_rate,year,loony,suicide_per_1000,loony_per_1000,liver_disease_1000,log_adult_population_per_1000,log_suicide_per_1000,log_loony_per_1000,liver_disease_per_1000,log_liver_disease_per_1000,log_cons_per_1000,log_loony_per_1000FE,rGDPFE,log_cons_per_1000FE,log_liver_disease_per_1000FE,burdenFE,log_adult_population,log_adult_populationFE,log_suicide_per_1000FE,pref_id
146,栃木,栃  木,0.35975034,8948.975,23,1637,5.46669212,4.1,8675960,0.4,栃  木,449,23,117,89,28,6,24,1,0.274282224,0.000610874,0.071472205,7.400620577,-1.29359769,-7.400620577,0.071472205,-2.638446643,8.606428981,-0.199770807,-0.413333333,-0.181239424,0.224596267,-0.013264483,7.400620577,0.01117815,-0.06972342,8
147,群馬,群  馬,0.359816138,9935.43,23,1629,6.099097606,4,8150611,0.4,群  馬,459,23,132,92,40,7,24,2.1,0.281767956,0.001289134,0.081031308,7.395721609,-1.266671399,-6.653784264,0.081031308,-2.512919686,8.715896106,0.324072065,-0.413333333,-0.11046919,0.16289999,-0.012601385,7.395721609,0.001090446,-0.064977872,9
148,埼玉,埼  玉,0.361479395,34175.84,23,5909,5.783692672,4.625,21641890,0.4,埼  玉,1528,21,327,243,84,5,24,2.7,0.258588594,0.00045693,0.055339313,8.684231891,-1.352516922,-7.690980118,0.055339313,-2.89427172,8.662797628,-0.366283386,-0.413333333,-0.092470795,0.018355286,-0.01210326,8.684231891,0.026592261,-0.013495628,10
149,新潟,新  潟,0.340912992,15794.15,23,1951,8.095412609,3.9,9317128,0.4,新  潟,617,26,154,120,34,7,24,1.9,0.316248078,0.00097386,0.07893388,7.576097341,-1.151228317,-6.934243454,0.07893388,-2.539144738,8.999052836,-0.031659211,-0.413333333,-0.087558289,0.149881577,-0.013429126,7.576097341,-0.006217693,-0.101006143,11
150,長野,長  野,0.352804807,11372.295,23,1748,6.505889588,3.65,8650672,0.4,長  野,447,21,115,91,24,6,24,1.9,0.255720824,0.001086957,0.065789474,7.466227556,-1.363668962,-6.82437367,0.065789474,-2.721295428,8.780463136,0.029451786,-0.413333333,-0.102015983,0.023325716,-0.013629551,7.466227556,-0.007933351,-0.07606735,12
151,千葉,千  葉,0.359308045,28679.35,23,5128,5.592696958,4.325,20437502,0.4,千  葉,1215,20,309,229,80,5,24,4.1,0.236934477,0.000799532,0.06025741,8.542470999,-1.439971643,-7.131484025,0.06025741,-2.809129722,8.629216911,0.14675345,-0.413333333,-0.106128853,0.126836259,-0.011936814,8.542470999,0.030455519,-0.067924372,13
152,東京,東  京,0.368368636,92010.735,23,11171,8.236571032,4.75,97381097,0.4,東  京,2575,20,1062,864,198,8,24,9,0.230507564,0.000805658,0.095067586,9.321076414,-1.4674716,-7.123851836,0.095067586,-2.353167212,9.016339399,-0.211007993,-0.413333333,-0.114670849,0.040017991,-0.014160267,9.321076414,0.047582898,-0.077270192,14
153,神奈川,神奈川,0.363160299,42215.455,23,7459,5.659666845,4.425,32405248,0.4,神奈川,1659,19,448,354,94,5,24,9,0.222415873,0.001206596,0.06006167,8.917176636,-1.503206346,-6.719952059,0.06006167,-2.812383404,8.641120308,0.362620655,-0.413333333,-0.118231636,0.016024463,-0.012318304,8.917176636,0.032119394,-0.069703097,15
154,山梨,山  梨,0.360530062,4997.285,23,697,7.169705882,3.75,3562762,0.4,山  梨,185,22,58,40,18,7,24,0.6,0.265423242,0.000860832,0.083213773,6.546785411,-1.326429586,-7.057611035,0.083213773,-2.4863424,8.877619912,-0.03487169,-0.413333333,-0.009171439,0.093150305,-0.013681411,6.546785411,-0.008631896,-0.111995925,16
155,富山,富  山,0.353979637,5803.935,23,897,6.470384615,3.225,4708191,0.4,富  山,238,22,69,51,18,6,24,0.7,0.265328874,0.000780379,0.076923077,6.799055862,-1.326785188,-7.155730806,0.076923077,-2.564949357,8.774990832,-0.000963543,-0.413333333,-0.082646019,0.10102479,-0.014640839,6.799055862,-0.007586049,-0.143078199,17
