,Unnamed: 0,pref,burden rate,real consumption,fiscal_year,adult_population,cons_per_1000adult,unempr,grp,pref2,suicide,liver_disease,liver_disease_rate,year,loony,suicide_per_1000adult,loony_per_1000adult,liver_disease_1000,liver_disease_per_1000,pref_id,over65,total_population,cons_per_1000,over65rate,suicide_per_1000,loony_per_1000,grp_per_1000
70,滋賀,滋  賀,0.351679681,5522.435,25,1134,4.869872134,2.85,6638253,滋  賀,254,72,5,26,1.2,0.223985891,0.001058201,0.063492063,0.063492063,24,22.5,1416,3.900024718,0.225,0.179378531,0.000847458,4688.03178
71,京都,京  都,0.364075879,13160.715,25,2169,6.06764177,3.675,10421062,京  都,450,143,6,26,2,0.20746888,0.000922084,0.065929,0.065929,25,25.8,2617,5.028931983,0.258,0.171952618,0.000764234,3982.064196
72,大阪,大  阪,0.368116483,48817.035,25,7288,6.698275933,4.675,39289725,大  阪,1735,687,8,26,4.3,0.238062569,0.000590011,0.094264544,0.094264544,26,24.7,8849,5.516672505,0.247,0.196067352,0.000485931,4440.018646
73,兵庫,兵  庫,0.361514059,26612.245,25,4545,5.855279428,3.975,20714454,兵  庫,1080,324,6,26,4.2,0.237623762,0.000924092,0.071287129,0.071287129,27,25.3,5558,4.788097337,0.253,0.194314502,0.000755668,3726.961857
74,奈良,奈  良,0.356485142,5641.33,25,1137,4.961591909,3.675,3788932,奈  良,234,80,6,26,0.9,0.205804749,0.000791557,0.070360598,0.070360598,28,26.7,1383,4.079052784,0.267,0.169197397,0.000650759,2739.647144
75,和歌山,和歌山,0.359117987,4915.605,25,809,6.076149567,2.925,3796642,和歌山,168,65,7,26,0.8,0.207663782,0.000988875,0.080346106,0.080346106,29,29.4,979,5.021046987,0.294,0.171603677,0.00081716,3878.081716
76,鳥取,鳥  取,0.351376832,3160.49,25,475,6.653663158,3.15,1982186,鳥  取,109,45,8,26,0.6,0.229473684,0.001263158,0.094736842,0.094736842,30,28.2,578,5.467975779,0.282,0.188581315,0.001038062,3429.387543
77,島根,島  根,0.347086289,4027.505,25,579,6.955967185,2.775,2547987,島  根,141,54,8,26,0.8,0.243523316,0.001381693,0.093264249,0.093264249,31,30.9,702,5.73718661,0.309,0.200854701,0.001139601,3629.611111
78,岡山,岡  山,0.353838929,8932.535,25,1578,5.660668568,3.575,8067164,岡  山,324,111,6,26,2.4,0.205323194,0.001520913,0.070342205,0.070342205,32,27.1,1930,4.628256477,0.271,0.167875648,0.001243523,4179.87772
79,広島,広  島,0.361060725,15189.99,25,2322,6.541770026,3.4,11652813,広  島,543,183,7,26,2.1,0.233850129,0.000904393,0.07881137,0.07881137,33,26.2,2840,5.348588028,0.262,0.191197183,0.000739437,4103.103169
80,山口,山  口,0.360970436,7505.215,25,1178,6.371150255,3.325,6344195,山  口,267,96,7,26,1,0.226655348,0.000848896,0.081494058,0.081494058,34,30.2,1420,5.285362676,0.302,0.188028169,0.000704225,4467.742958
81,徳島,徳  島,0.358706377,3696.47,25,639,5.784773083,3.55,3143054,徳  島,151,67,9,26,0.9,0.236306729,0.001408451,0.10485133,0.10485133,35,29.1,770,4.80061039,0.291,0.196103896,0.001168831,4081.888312
82,香川,香  川,0.359621516,4633.325,25,811,5.71310111,3.2,3938544,香  川,169,65,7,26,0.7,0.20838471,0.000863132,0.080147965,0.080147965,36,28.1,985,4.703883249,0.281,0.171573604,0.00071066,3998.521827
83,愛媛,愛  媛,0.363063745,7089.91,25,1160,6.111991379,3.35,5183896,愛  媛,284,92,7,26,1.2,0.244827586,0.001034483,0.079310345,0.079310345,37,28.8,1405,5.046199288,0.288,0.202135231,0.000854093,3689.605694
84,高知,高  知,0.36417243,4628.26,25,624,7.417083333,3.275,2370793,高  知,159,63,9,26,0.7,0.254807692,0.001121795,0.100961538,0.100961538,38,31.1,745,6.21242953,0.311,0.213422819,0.000939597,3182.272483
85,福岡,福  岡,0.363168103,27774.675,25,4158,6.679816017,4.925,18972688,福  岡,993,321,6,26,8,0.238816739,0.001924002,0.077200577,0.077200577,39,24.2,5090,5.456714145,0.242,0.195088409,0.001571709,3727.443615
86,佐賀,佐  賀,0.354236336,4192.925,25,676,6.202551775,3.625,2914773,佐  賀,141,54,7,26,0.8,0.208579882,0.001183432,0.079881657,0.079881657,40,26.1,840,4.991577381,0.261,0.167857143,0.000952381,3469.967857
87,長崎,長  崎,0.362942817,7412.545,25,1144,6.479497378,4,4684291,長  崎,268,90,7,26,1.8,0.234265734,0.001573427,0.078671329,0.078671329,41,27.9,1397,5.306045097,0.279,0.191839656,0.001288475,3353.107373
88,熊本,熊  本,0.369425094,10462.225,25,1467,7.131714383,4.125,6003599,熊  本,332,106,6,26,2.6,0.226312202,0.001772324,0.072256305,0.072256305,42,27.2,1801,5.809119933,0.272,0.184342032,0.001443642,3333.480844
89,大分,大  分,0.36155506,6953.17,25,971,7.160834192,3.6,4701150,大  分,205,71,6,26,1,0.211122554,0.001029866,0.073120494,0.073120494,43,28.6,1178,5.902521222,0.286,0.174023769,0.000848896,3990.789474
90,宮崎,宮  崎,0.363912133,8469.54,25,910,9.307186813,3.25,3855968,宮  崎,265,81,7,26,1.8,0.291208791,0.001978022,0.089010989,0.089010989,44,27.6,1120,7.562089286,0.276,0.236607143,0.001607143,3442.828571
91,鹿児島,鹿児島,0.368096,13789.66,25,1369,10.07279766,4.275,5643870,鹿児島,355,115,7,26,1.8,0.259313367,0.001314828,0.084002922,0.084002922,45,27.8,1680,8.208130952,0.278,0.211309524,0.001071429,3359.446429
92,北海道,北海道,0.367391314,32552.15,24,4572,7.119892826,5.1,18805664,北海道,1145,303,6,25,6.1,0.250437445,0.001334208,0.066272966,0.066272966,0,26,5460,5.961932234,0.26,0.20970696,0.001117216,3444.260806
93,青森,青  森,0.362744529,8963.26,24,1119,8.010062556,5.125,4660944,青  森,311,110,8,25,1,0.27792672,0.000893655,0.098302055,0.098302055,1,27,1350,6.639451852,0.27,0.23037037,0.000740741,3452.551111
94,岩手,岩  手,0.357762766,7842.675,24,1076,7.288731413,3.675,4672776,岩  手,340,73,6,25,1.4,0.31598513,0.001301115,0.067843866,0.067843866,2,27.9,1303,6.018937068,0.279,0.260936301,0.001074444,3586.167306
95,宮城,宮  城,0.355073126,13435.315,24,1911,7.030515437,4.5,9102636,宮  城,458,127,6,25,1.9,0.239665097,0.000994244,0.066457352,0.066457352,3,22.9,2325,5.778630108,0.229,0.196989247,0.000817204,3915.112258
96,秋田,秋  田,0.348791463,7149.535,24,896,7.979391741,4.225,3731746,秋  田,277,75,7,25,1.1,0.309151786,0.001227679,0.083705357,0.083705357,4,30.7,1063,6.725809031,0.307,0.260583255,0.001034807,3510.579492
97,山形,山  形,0.349443046,6720.955,24,950,7.074689474,3.325,4191442,山  形,279,82,7,25,1,0.293684211,0.001052632,0.086315789,0.086315789,5,28.3,1152,5.834162326,0.283,0.2421875,0.000868056,3638.404514
98,福島,福  島,0.349363238,10878.905,24,1607,6.769698195,3.75,7432935,福  島,420,126,7,25,2,0.261356565,0.001244555,0.07840697,0.07840697,6,26.1,1962,5.544803772,0.261,0.214067278,0.001019368,3788.448012
99,茨城,茨  城,0.359219154,13669.885,24,2410,5.672151452,3.825,12379271,茨  城,613,205,7,25,1.2,0.254356846,0.000497925,0.085062241,0.085062241,7,23.8,2943,4.644881074,0.238,0.20829086,0.000407747,4206.344207
100,栃木,栃  木,0.35975034,9519.975,24,1632,5.833318015,3.675,8557301,栃  木,444,121,6,25,1,0.272058824,0.000612745,0.074142157,0.074142157,8,23.2,1992,4.779103916,0.232,0.222891566,0.000502008,4295.833835
101,群馬,群  馬,0.359816138,9947.235,24,1624,6.125144704,3.35,8124202,群  馬,492,127,7,25,2.1,0.302955665,0.001293103,0.07820197,0.07820197,9,24.9,1992,4.993591867,0.249,0.246987952,0.001054217,4078.414659
102,埼玉,埼  玉,0.361479395,34458.8,24,5922,5.81877744,4.35,21708892,埼  玉,1486,364,5,25,2.7,0.25092874,0.000455927,0.061465721,0.061465721,10,22,7212,4.777981143,0.22,0.20604548,0.000374376,3010.107044
103,新潟,新  潟,0.340912992,15836.54,24,1940,8.163164948,3.625,9263314,新  潟,605,135,6,25,1.9,0.31185567,0.000979381,0.069587629,0.069587629,11,27.2,2347,6.747567107,0.272,0.257775884,0.000809544,3946.874308
104,長野,長  野,0.352804807,11157.405,24,1740,6.412301724,3.35,8620898,長  野,422,121,6,25,1.9,0.242528736,0.001091954,0.06954023,0.06954023,12,27.4,2132,5.233304409,0.274,0.19793621,0.000891182,4043.573171
105,千葉,千  葉,0.359308045,29293.055,24,5119,5.722417464,4.025,20385983,千  葉,1217,292,5,25,4.1,0.237741746,0.000800938,0.057042391,0.057042391,13,23.2,6195,4.728499596,0.232,0.196448749,0.000661824,3290.715577
106,東京,東  京,0.368368636,91725.23,24,11209,8.183176911,4.55,97164958,東  京,2620,1061,8,25,9,0.233740744,0.000802926,0.09465608,0.09465608,14,21.3,13230,6.933123961,0.213,0.198034769,0.000680272,7344.290098
107,神奈川,神奈川,0.363160299,41235.225,24,7477,5.51494249,4.4,31939365,神奈川,1606,474,5,25,9,0.214792029,0.001203691,0.06339441,0.06339441,15,21.5,9067,4.547835558,0.215,0.177125841,0.000992611,3522.594574
108,山梨,山  梨,0.360530062,4230.47,24,696,6.078261494,3.275,3485107,山  梨,196,50,6,25,0.6,0.281609195,0.000862069,0.07183908,0.07183908,16,25.6,852,4.965340376,0.256,0.230046948,0.000704225,4090.501174
109,富山,富  山,0.353979637,5655.565,24,894,6.326135347,2.925,4615835,富  山,241,65,6,25,0.7,0.269574944,0.000782998,0.072706935,0.072706935,17,27.6,1082,5.226954713,0.276,0.222735675,0.00064695,4266.021257
110,石川,石  川,0.354751742,5780.415,24,949,6.091059009,3.35,4939664,石  川,204,52,5,25,1.1,0.214963119,0.001159115,0.054794521,0.054794521,18,25,1163,4.970262253,0.25,0.175408426,0.00094583,4247.346518
111,福井,福  井,0.358190165,3873.11,24,650,5.958630769,2.675,3380836,福  井,140,46,6,25,0.7,0.215384615,0.001076923,0.070769231,0.070769231,19,26,799,4.847446809,0.26,0.175219024,0.000876095,4231.334168
112,岐阜,岐  阜,0.358829407,8434.45,24,1675,5.035492537,3.3,7673721,岐  阜,385,105,5,25,1,0.229850746,0.000597015,0.062686567,0.062686567,20,25.2,2061,4.092406599,0.252,0.186802523,0.000485201,3723.299854
113,静岡,静  岡,0.361378474,18027.98,24,3055,5.901139116,3.325,17045901,静  岡,759,227,6,25,3.3,0.248445172,0.001080196,0.074304419,0.074304419,21,24.9,3735,4.826768407,0.249,0.203212851,0.000883534,4563.828916
114,愛知,愛  知,0.367674425,32091.48,24,6011,5.338792214,3.55,37273853,愛  知,1389,363,5,25,4.9,0.23107636,0.000815172,0.060389286,0.060389286,22,21.4,7427,4.320920964,0.214,0.187020331,0.000659755,5018.695705
115,三重,三  重,0.355950121,7732.365,24,1501,5.151475683,3.225,8704357,三  重,348,90,5,25,2.2,0.231845436,0.00146569,0.059960027,0.059960027,23,25.3,1840,4.202372283,0.253,0.189130435,0.001195652,4730.628804
116,滋賀,滋  賀,0.352305397,5591.195,24,1132,4.939218198,3.875,6490821,滋  賀,293,63,5,25,1.2,0.258833922,0.001060071,0.05565371,0.05565371,24,21.6,1415,3.951374558,0.216,0.207067138,0.000848057,4587.15265
117,京都,京  都,0.364552732,13313.845,24,2172,6.129762891,4.55,10408910,京  都,498,138,5,25,2,0.229281768,0.00092081,0.063535912,0.063535912,25,24.7,2625,5.071940952,0.247,0.189714286,0.000761905,3965.299048
118,大阪,大  阪,0.368471718,49840.15,24,7289,6.837721224,5.5,38851996,大  阪,1811,659,8,25,4.3,0.248456578,0.00058993,0.090410207,0.090410207,26,23.7,8856,5.627839883,0.237,0.204494128,0.000485547,4387.081752
119,兵庫,兵  庫,0.361970931,27119.36,24,4551,5.958989233,4.575,20188430,兵  庫,1126,365,7,25,4.2,0.24741815,0.000922874,0.080202153,0.080202153,27,24.3,5571,4.867951894,0.243,0.202118112,0.000753904,3623.843116
120,奈良,奈  良,0.35701653,5537.99,24,1138,4.86642355,4.25,3742205,奈  良,252,68,5,25,0.9,0.221441125,0.000790861,0.059753954,0.059753954,28,25.5,1390,3.984165468,0.255,0.181294964,0.000647482,2692.233813
121,和歌山,和歌山,0.359681611,4973.18,24,813,6.117072571,3.6,3734772,和歌山,208,58,6,25,0.8,0.255842558,0.00098401,0.071340713,0.071340713,29,28.4,988,5.033582996,0.284,0.210526316,0.000809717,3780.133603
122,鳥取,鳥  取,0.352057282,3124.93,24,475,6.5788,3.65,1963816,鳥  取,121,28,5,25,0.6,0.254736842,0.001263158,0.058947368,0.058947368,30,27.2,582,5.369295533,0.272,0.20790378,0.001030928,3374.254296
123,島根,島  根,0.347822085,4006.3,24,582,6.883676976,2.675,2521240,島  根,177,45,7,25,0.8,0.304123711,0.00137457,0.077319588,0.077319588,31,30,707,5.666619519,0.3,0.250353607,0.001131542,3566.110325
124,岡山,岡  山,0.354405562,8735.025,24,1580,5.528496835,3.775,7750586,岡  山,340,130,7,25,2.4,0.215189873,0.001518987,0.082278481,0.082278481,32,26.2,1936,4.511893079,0.262,0.175619835,0.001239669,4003.40186
125,広島,広  島,0.361519053,15098.95,24,2327,6.48859046,3.6,11471822,広  島,556,181,6,25,2.1,0.23893425,0.00090245,0.077782553,0.077782553,33,25.3,2848,5.301597612,0.253,0.195224719,0.00073736,4028.027388
126,山口,山  口,0.361439063,7469.485,24,1185,6.303362869,3.55,6188551,山  口,281,99,7,25,1,0.237130802,0.000843882,0.083544304,0.083544304,34,29.2,1431,5.219765898,0.292,0.196366177,0.000698812,4324.633823
127,徳島,徳  島,0.359273732,3609.63,24,646,5.587662539,3.925,3034411,徳  島,169,67,9,25,0.9,0.261609907,0.001393189,0.10371517,0.10371517,35,28,776,4.651585052,0.28,0.217783505,0.001159794,3910.323454
128,香川,香  川,0.360131996,4679.93,24,811,5.770567201,3.425,3989213,香  川,184,66,7,25,0.7,0.226880395,0.000863132,0.081381011,0.081381011,36,27.1,989,4.7319818,0.271,0.186046512,0.000707786,4033.582406
129,愛媛,愛  媛,0.363573313,6883.655,24,1167,5.898590403,3.75,5043843,愛  媛,316,96,7,25,1.2,0.270779777,0.001028278,0.082262211,0.082262211,37,27.8,1415,4.864773852,0.278,0.223321555,0.000848057,3564.553357
130,高知,高  知,0.364689133,4574.655,24,628,7.284482484,3.7,2291796,高  知,160,64,9,25,0.7,0.25477707,0.00111465,0.101910828,0.101910828,38,30.1,752,6.083317819,0.301,0.212765957,0.000930851,3047.601064
131,福岡,福  岡,0.363552938,27501.43,24,4153,6.622063569,5.15,18639643,福  岡,1067,311,6,25,8,0.256922706,0.001926318,0.074885625,0.074885625,39,23.3,5085,5.408344149,0.233,0.209832842,0.001573255,3665.613176
132,佐賀,佐  賀,0.354858113,4177.41,24,679,6.152297496,3.7,2841615,佐  賀,151,51,6,25,0.8,0.222385862,0.001178203,0.075110457,0.075110457,40,25.3,843,4.955409253,0.253,0.179122183,0.000948992,3370.836299
133,長崎,長  崎,0.363380971,7236.13,24,1145,6.319764192,4.275,4677031,長  崎,280,97,7,25,1.8,0.244541485,0.001572052,0.084716157,0.084716157,41,27,1408,5.139296875,0.27,0.198863636,0.001278409,3321.754972
134,熊本,熊  本,0.369654062,9971.265,24,1469,6.787791014,4.3,5997099,熊  本,365,119,7,25,2.6,0.248468346,0.001769912,0.081007488,0.081007488,42,26.5,1807,5.518132263,0.265,0.201992252,0.001438849,3318.815163
135,大分,大  分,0.361946709,7294.91,24,974,7.489640657,3.85,4631473,大  分,255,87,7,25,1,0.261806982,0.001026694,0.089322382,0.089322382,43,27.6,1185,6.156042194,0.276,0.215189873,0.000843882,3908.416034
136,宮崎,宮  崎,0.36403897,8344.19,24,914,9.129310722,4.5,3720855,宮  崎,256,80,7,25,1.8,0.280087527,0.001969365,0.087527352,0.087527352,44,26.7,1126,7.410470693,0.267,0.227353464,0.001598579,3304.489343
137,鹿児島,鹿児島,0.368158273,13460.155,24,1376,9.78208939,4.4,5591115,鹿児島,362,126,8,25,1.8,0.263081395,0.00130814,0.091569767,0.091569767,45,27,1690,7.964588757,0.27,0.214201183,0.001065089,3308.352071
138,北海道,北海道,0.367391314,33322.11,23,4580,7.275569869,5.225,18857194,北海道,1206,321,6,24,6.1,0.263318777,0.001331878,0.070087336,0.070087336,0,25.2,5486,6.074026613,0.252,0.2198323,0.001111921,3437.330295
139,青森,青  森,0.362744529,9165.32,23,1127,8.132493345,5.975,4601836,青  森,327,108,8,24,1,0.290150843,0.000887311,0.095829636,0.095829636,1,26.1,1363,6.724372707,0.261,0.239911959,0.000733676,3376.255319
140,岩手,岩  手,0.357762766,7717.66,23,1084,7.119612546,4.8,4453705,岩  手,329,82,6,24,1.4,0.303505535,0.001291513,0.075645756,0.075645756,2,27.3,1314,5.873409437,0.273,0.250380518,0.001065449,3389.425419
141,宮城,宮  城,0.355073126,12612.94,23,1908,6.610555556,5.575,8159753,宮  城,437,116,5,24,1.9,0.229035639,0.000995807,0.060796646,0.060796646,3,22.4,2327,5.420257843,0.224,0.187795445,0.000816502,3506.554792
142,秋田,秋  田,0.348791463,7377.45,23,905,8.151878453,4.875,3749784,秋  田,293,90,9,24,1.1,0.323756906,0.00121547,0.099447514,0.099447514,4,29.7,1075,6.862744186,0.297,0.27255814,0.001023256,3488.171163
143,山形,山  形,0.349443046,6815.715,23,957,7.121959248,3.975,4149411,山  形,290,64,6,24,1,0.303030303,0.001044932,0.066875653,0.066875653,5,27.6,1161,5.870555556,0.276,0.249784668,0.000861326,3573.997416
144,福島,福  島,0.349363238,10571.105,23,1625,6.505295385,4.675,6978230,福  島,428,114,6,24,2,0.263384615,0.001230769,0.070153846,0.070153846,6,25.2,1990,5.312113065,0.252,0.215075377,0.001005025,3506.648241
145,茨城,茨  城,0.359219154,13509.695,23,2416,5.591761175,4.275,12330557,茨  城,614,184,6,24,1.2,0.254139073,0.000496689,0.07615894,0.07615894,7,22.9,2958,4.567172076,0.229,0.207572684,0.00040568,4168.545301
146,栃木,栃  木,0.35975034,8948.975,23,1637,5.46669212,4.1,8675960,栃  木,449,117,6,24,1,0.274282224,0.000610874,0.071472205,0.071472205,8,22.3,2000,4.4744875,0.223,0.2245,0.0005,4337.98
147,群馬,群  馬,0.359816138,9935.43,23,1629,6.099097606,4,8150611,群  馬,459,132,7,24,2.1,0.281767956,0.001289134,0.081031308,0.081031308,9,23.9,2001,4.965232384,0.239,0.229385307,0.001049475,4073.268866
148,埼玉,埼  玉,0.361479395,34175.84,23,5909,5.783692672,4.625,21641890,埼  玉,1528,327,5,24,2.7,0.258588594,0.00045693,0.055339313,0.055339313,10,20.9,7207,4.742034133,0.209,0.212016095,0.000374636,3002.898571
149,新潟,新  潟,0.340912992,15794.15,23,1951,8.095412609,3.9,9317128,新  潟,617,154,7,24,1.9,0.316248078,0.00097386,0.07893388,0.07893388,11,26.4,2362,6.686769687,0.264,0.261219306,0.000804403,3944.592718
150,長野,長  野,0.352804807,11372.295,23,1748,6.505889588,3.65,8650672,長  野,447,115,6,24,1.9,0.255720824,0.001086957,0.065789474,0.065789474,12,26.7,2142,5.309194678,0.267,0.208683473,0.000887021,4038.595705
151,千葉,千  葉,0.359308045,28679.35,23,5128,5.592696958,4.325,20437502,千  葉,1215,309,5,24,4.1,0.236934477,0.000799532,0.06025741,0.06025741,13,22,6214,4.615280013,0.22,0.195526231,0.0006598,3288.944641
152,東京,東  京,0.368368636,92010.735,23,11171,8.236571032,4.75,97381097,東  京,2575,1062,8,24,9,0.230507564,0.000805658,0.095067586,0.095067586,14,20.6,13196,6.972623143,0.206,0.195134889,0.000682025,7379.592073
153,神奈川,神奈川,0.363160299,42215.455,23,7459,5.659666845,4.425,32405248,神奈川,1659,448,5,24,9,0.222415873,0.001206596,0.06006167,0.06006167,15,20.6,9058,4.660571318,0.206,0.183153014,0.000993597,3577.527931
154,山梨,山  梨,0.360530062,4997.285,23,697,7.169705882,3.75,3562762,山  梨,185,58,7,24,0.6,0.265423242,0.000860832,0.083213773,0.083213773,16,24.8,857,5.83113769,0.248,0.215869312,0.000700117,4157.248541
155,富山,富  山,0.353979637,5803.935,23,897,6.470384615,3.225,4708191,富  山,238,69,6,24,0.7,0.265328874,0.000780379,0.076923077,0.076923077,17,26.4,1088,5.334499081,0.264,0.21875,0.000643382,4327.381434
156,石川,石  川,0.354751742,6016.315,23,950,6.332963158,3.725,4838087,石  川,241,51,4,24,1.1,0.253684211,0.001157895,0.053684211,0.053684211,18,23.9,1166,5.15978988,0.239,0.206689537,0.000943396,4149.302744
157,福井,福  井,0.358190165,3737.37,23,652,5.732162577,2.975,3535353,福  井,159,54,7,24,0.7,0.243865031,0.00107362,0.082822086,0.082822086,19,25.2,803,4.654259029,0.252,0.198007472,0.000871731,4402.681196
158,岐阜,岐  阜,0.358829407,8679.015,23,1681,5.163007139,3.6,7668258,岐  阜,425,97,5,24,1,0.252825699,0.000594884,0.057703748,0.057703748,20,24.3,2071,4.190736359,0.243,0.205214872,0.000482859,3702.683728
159,静岡,静  岡,0.361378474,18432.255,23,3066,6.011824853,3.55,17094100,静  岡,751,184,5,24,3.3,0.244944553,0.001076321,0.060013046,0.060013046,21,24.1,3749,4.916579088,0.241,0.200320085,0.000880235,4559.642571
160,愛知,愛  知,0.367674425,32930.295,23,5993,5.494793092,3.575,35859702,愛  知,1332,327,5,24,4.9,0.222259303,0.000817621,0.054563658,0.054563658,22,20.6,7416,4.440438916,0.206,0.17961165,0.000660734,4835.450647
161,三重,三  重,0.355950121,7847.61,23,1505,5.214358804,3.475,8454063,三  重,370,98,5,24,2.2,0.245847176,0.001461794,0.065116279,0.065116279,23,24.4,1847,4.248841364,0.244,0.200324851,0.001191121,4577.186248
